PartitionKey,RowKey,CountryCode,Latitude,Longitude,SW_Lat,SW_Lon,NE_Lat,NE_Lon,lat radians,long radians
Denmark,Esbjerg,DK,55.521552,8.463041,55.34169588,8.145305901,55.70140812,8.780776099,0.969033888,0.14770793
Sweden,Malmo,SE,55.559695,12.996421,55.37983888,12.67837754,55.73955112,13.31446446,0.969699609,0.226830337
Lithuania,Klaipeda,LT,55.666309,21.189825,55.48645288,20.87091646,55.84616512,21.50873354,0.971560374,0.369832214
Sweden,Malmo-Lund,SE,55.668502,13.143467,55.48864588,12.82454062,55.84835812,13.46239338,0.97159865,0.229396774
Denmark,Copenhagen,DK,55.709484,12.517062,55.52962788,12.19780179,55.88934012,12.83632221,0.97231392,0.218463945
Russia,Moscow,RU,55.711924,37.61855,55.53206788,37.2992699,55.89178012,37.9378301,0.972356506,0.656567557
Russia,Kazan,RU,55.818497,49.141221,55.63864088,48.8210694,55.99835312,49.4613726,0.974216556,0.857676105
United Kingdom,Glasgow,GB,55.858048,-4.172451,55.67819188,-4.492927237,56.03790412,-3.851974763,0.974906851,-0.072823008
United Kingdom,Scottish Central Belt,GB,55.898427,-3.602225,55.71857088,-3.923033351,56.07828312,-3.281416649,0.975611598,-0.062870687
United Kingdom,Edinburgh Science Triangle,GB,55.921411,-3.447003,55.74155488,-3.7680007,56.10126712,-3.1260053,0.976012744,-0.060161552
United Kingdom,Edinburgh,GB,55.930701,-3.258115,55.75084488,-3.579189297,56.11055712,-2.937040703,0.976174885,-0.056864834
Russia,Krasnoyarsk,RU,56.016667,93.066667,55.83681088,92.74488044,56.19652312,93.38845356,0.977675275,1.624319763
United Kingdom,Fife,GB,56.183281,-3.161335,56.00342488,-3.484525094,56.36313712,-2.838144906,0.980583238,-0.055175705
Russia,Nizhny Novgorod,RU,56.263611,43.884241,56.08375488,43.56036983,56.44346712,44.20811217,0.981985261,0.765924495
United Kingdom,Dundee,GB,56.468739,-3.051199,56.28888288,-3.376822424,56.64859512,-2.725575576,0.98556542,-0.053253469
Russia,Yekaterinburg,RU,56.79907,60.627684,56.61921388,60.2991986,56.97892612,60.9561694,0.991330784,1.058152704
Latvia,Riga,LV,56.970628,24.183964,56.79077188,23.85397229,57.15048412,24.51395571,0.994325036,0.422089798
United Kingdom,Aberdeen,GB,57.152502,-2.177093,56.97264588,-2.508713531,57.33235812,-1.845472469,0.997499336,-0.037997441
United Kingdom,Inverness,GB,57.451114,-4.233213,57.27125788,-4.567548375,57.63097012,-3.898877625,1.002711098,-0.073883505
Sweden,Gothenburg,SE,57.746677,11.918377,57.56682088,11.58131037,57.92653312,12.25544363,1.007869646,0.20801492
Sweden,Jonkoping,SE,57.785183,14.228992,57.60532688,13.89156625,57.96503912,14.56641775,1.008541702,0.24834276
Norway,Stavanger,NO,58.925224,5.724894,58.74536788,5.376421757,59.10508012,6.073366243,1.028439171,0.09991825
Sweden,Stockholm,SE,59.354034,17.995196,59.17417788,17.64233015,59.53389012,18.34806185,1.035923318,0.31407542
Estonia,Tallinn,EE,59.406628,24.686806,59.22677188,24.33339248,59.58648412,25.04021952,1.036841256,0.430866047
Russia,Saint Petersburg,RU,59.931583,30.422329,59.75172688,30.06335445,60.11143912,30.78130355,1.046003449,0.530969807
Norway,Oslo,NO,59.958447,10.759827,59.77859088,10.40056316,60.13830312,11.11909084,1.046472315,0.187794408
Finland,Espoo,FI,60.160724,24.645603,59.98086788,24.28412483,60.34058012,25.00708117,1.050002714,0.430146918
Finland,Helsinki,FI,60.218054,24.950786,60.03819788,24.58867373,60.39791012,25.31289827,1.051003311,0.435473367
Finland,Turku,FI,60.486988,22.323276,60.30713188,21.95815919,60.66684412,22.68839281,1.055697095,0.389614666
Finland,Tampere,FI,61.465978,23.826639,61.28612188,23.45008461,61.64583412,24.20319339,1.072783694,0.4158533
Finland,Jyvaskyla,FI,62.289656,25.740652,62.10979988,25.35381821,62.46951212,26.12748579,1.087159587,0.449259129
Finland,Kuopio,FI,62.851658,27.642071,62.67180188,27.24786697,63.03151412,28.03627503,1.096968372,0.482445151
Iceland,Reykjavik,IS,64.139482,-21.919272,63.95962588,-22.33167794,64.31933812,-21.50686606,1.119445141,-0.382563466
Finland,Oulu,FI,65.036985,25.560799,64.85712888,25.13458611,65.21684112,25.98701189,1.135109524,0.446120102
